Tag ID,Marketplace Tag Name,Tag Title,Tag Status,Tag Load Rule Mappings,Tag Data Mappings
,,,,,js.geo_move_from_plz - geo_move_from_plz,
,,,,,js.geo_move_to_country - geo_move_to_country,
,,,,,js.geo_move_to_date - geo_move_to_date,
,,,,,js.geo_move_to_plz - geo_move_to_plz,
,,,,,js.obj_household - obj_household,
,,,,,js.obj_livingSpace - obj_livingSpace,
,,,,,js.obj_move_from_ityp - obj_move_from_ityp,
,,,,,js.obj_move_to_ityp - obj_move_to_ityp,
,,,,,js.psn_gender - psn_gender,

1093,Krux Event Pixel,"Krux - Relocation - Cancellation Letter",active,js.cmp_load,None,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1094,Krux Event Pixel,"Krux - B2C - Solvency Check Sale",active,js.cmp_load,js.com_con_paymentmethod - com_con_paymentmethod,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1095,Krux Event Pixel,"Krux - B2C - Public Profile Sale",active,js.cmp_load,js.country_code - country_code,
,,,,js.evt_ga_action,js.evt_ga_label - evt_ga_label,
,,,,js.evt_ga_category,js.platform - platform,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1096,Krux Event Pixel,"Krux - B2C - Valuation Sale",active,js.cmp_load,js.com_cit_articlenumber - com_cit_articlenumber,
,,,,js.com_cit_articlenumber,js.com_cit_productfamily - com_cit_productfamily,
,,,,js.salesforce_dmp_krux_load,js.com_con_currency - com_con_currency,
,,,,js.svc_consumer_sco,js.com_con_paymentmethod - com_con_paymentmethod,
,,,,,js.com_con_price - com_con_price,
,,,,,js.country_code - country_code,

1097,Krux Event Pixel,"Krux - Residential - Expose - Contact Mail",active,js.cmp_load,js.obj_balcony - obj_balcony,
,,,,js.evt_event,js.obj_baseRent - obj_rent,
,,,,js.salesforce_dmp_krux_load,js.obj_baseRentRange - obj_baseRentRange,
,,,,js.svc_module_name,js.obj_buildingType - obj_type,
,,,,,js.obj_condition - obj_condition,
,,,,,js.obj_firingTypes - obj_heatingType,
,,,,,js.obj_furnished - obj_furnished,
,,,,,js.obj_garden - obj_garden,
,,,,,js.obj_hasKitchen - obj_hasKitchen,
,,,,,js.obj_interiorQual - obj_interiorQual,
,,,,,js.obj_ityp - obj_ityp,
,,,,,js.obj_livingSpace - obj_livingSpace,
,,,,,js.obj_noRooms - obj_noRooms,
,,,,,js.obj_purchasePrice - obj_price,
,,,,,js.obj_purchasePriceRange - obj_purchasePriceRange,
,,,,,js.obj_regio1 - obj_regio1,
,,,,,js.obj_regio2 - obj_regio2,
,,,,,js.obj_regio3 - obj_regio3,
,,,,,js.obj_typeOfFlat - obj_type,
,,,,,js.obj_zipCode - obj_zipcode,
,,,,,js.psn_gender - psn_gender,

1098,Krux Event Pixel,"Krux - Residential - Expose - Contact Phone Reveal",active,js.cmp_load,None,
,,,,js.evt_count_pm_suche,,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.salesforce_dmp_krux_load,,

1099,Krux Event Pixel,"Krux - Residential - Expose - Contact Call",active,js.cmp_load,js.obj_balcony - obj_balcony,
,,,,js.evt_count_pm_suche,js.obj_baseRent - obj_rent,
,,,,js.evt_event,js.obj_baseRentRange - obj_baseRentRange,
,,,,js.evt_ga_action,js.obj_buildingType - obj_type,
,,,,js.evt_ga_category,js.obj_condition - obj_condition,
,,,,js.salesforce_dmp_krux_load,js.obj_firingTypes - obj_firingTypes,
,,,,,js.obj_furnished - obj_furnished,
,,,,,js.obj_garden - obj_garden,
,,,,,js.obj_hasKitchen - obj_hasKitchen,
,,,,,js.obj_interiorQual - obj_interiorQual,
,,,,,js.obj_ityp - obj_ityp,
,,,,,js.obj_livingSpace - obj_livingSpace,
